frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6670,1.0000,236.7819,1.0423,0.2322,16.6721,16.6525,15.5699,0.0010,-1.0000
16.6670,1.0000,236.7986,0.9889,0.2661,16.7801,16.6436,15.7620,0.0009,-1.0000
16.6673,1.0000,236.8153,1.1587,0.2300,16.5975,16.6834,15.7486,0.0008,-1.0000
16.6662,1.0000,236.8319,0.9409,0.2509,16.7160,16.6620,15.5988,0.0009,-1.0000
16.6677,1.0000,236.8486,1.0818,0.2360,16.6573,16.6632,15.6966,0.0012,-1.0000
16.6678,1.0000,236.8653,0.8807,0.2415,16.6487,16.6601,15.6223,0.0008,-1.0000
16.6655,1.0000,236.8819,0.9339,0.2420,16.6888,16.6739,15.5442,0.0009,-1.0000
16.6667,1.0000,236.8987,1.0623,0.2420,16.6667,16.6464,15.6906,0.0008,-1.0000
16.6661,1.0000,236.9153,0.9655,0.2516,16.6691,16.6444,15.5334,0.0010,-1.0000
16.6662,1.0000,236.9321,1.0367,0.2623,16.6663,16.7517,15.6993,0.0010,-1.0000
16.6694,1.0000,236.9487,1.1287,0.2506,16.6805,16.5663,15.5327,0.0012,-1.0000
16.6650,1.0000,236.9653,0.9550,0.2494,16.6536,16.6643,15.5193,0.0009,-1.0000
16.6665,1.0000,236.9819,1.1101,0.2399,16.6503,16.6571,15.6644,0.0010,-1.0000
16.6664,1.0000,236.9986,1.0515,0.2699,16.7568,16.6353,15.7023,0.0009,-1.0000
16.6671,1.0000,237.0152,1.0324,0.2598,16.5726,16.6657,15.7075,0.0009,-1.0000
16.6677,1.0000,237.0319,1.1442,0.2396,16.6701,16.6633,15.7464,0.0010,-1.0000
16.6650,1.0000,237.0485,0.9918,0.3289,16.6622,16.6547,15.6514,0.0009,-1.0000
16.6680,1.0000,237.0656,0.9322,0.2343,16.6405,16.6647,15.8110,0.0009,-1.0000
16.6663,1.0000,237.0818,0.9576,0.2329,16.6709,16.6621,15.3654,0.0009,-1.0000
16.6675,1.0000,237.0986,0.9161,0.2446,16.6689,16.6864,15.8380,0.0008,-1.0000
16.6661,1.0000,237.1153,1.0026,0.2183,16.6603,16.6917,15.6619,0.0010,-1.0000
16.6664,1.0000,237.1319,0.8528,0.2324,16.6704,16.6421,15.6921,0.0009,-1.0000
16.6671,1.0000,237.1486,1.2959,0.2310,16.6670,16.6653,15.7359,0.0010,-1.0000
16.6665,1.0000,237.1653,0.8478,0.2320,16.6911,16.6673,15.6367,0.0009,-1.0000
16.6677,1.0000,237.1819,1.0287,0.2249,16.6970,16.6928,15.6956,0.0009,-1.0000
16.6666,1.0000,237.1986,0.9490,0.2250,16.6470,16.6259,15.7371,0.0008,-1.0000
16.6659,1.0000,237.2153,0.9285,0.2331,16.6701,16.6521,15.6350,0.0008,-1.0000
16.6677,1.0000,237.2321,1.0300,0.2371,16.6725,16.7197,15.7428,0.0011,-1.0000
16.6665,1.0000,237.2486,0.9965,0.2411,16.6981,16.5734,15.4431,0.0010,-1.0000
16.6669,1.0000,237.2653,0.8879,0.2331,16.6313,16.6630,15.7365,0.0011,-1.0000
16.6668,1.0000,237.2818,1.0163,0.2236,16.6565,16.6627,15.5997,0.0011,-1.0000
16.6669,1.0000,237.2986,0.9760,0.2441,16.7251,16.6673,15.7253,0.0008,-1.0000
16.6664,1.0000,237.3153,1.1295,0.2247,16.5788,16.6523,15.7547,0.0010,-1.0000
16.6666,1.0000,237.3319,0.9256,0.2717,16.6683,16.6653,15.6608,0.0009,-1.0000
16.6675,1.0000,237.3487,1.0620,0.2402,16.6677,16.7113,15.7681,0.0010,-1.0000
16.6660,1.0000,237.3652,0.9413,0.2340,16.6732,16.6078,15.4914,0.0013,-1.0000
16.6669,1.0000,237.3819,0.8967,0.2267,16.6573,16.6644,15.7141,0.0009,-1.0000
16.6665,1.0000,237.3987,1.0038,0.2251,16.6698,16.6647,15.7200,0.0010,-1.0000
16.6681,1.0000,237.4153,0.9425,0.3727,16.7172,16.6638,15.4944,0.0010,-1.0000
16.6652,1.0000,237.4319,1.1151,0.2320,16.6133,16.6556,15.5202,0.0010,-1.0000
16.6675,1.0000,237.4486,0.9493,0.2291,16.6696,16.6589,15.7248,0.0009,-1.0000
16.6668,1.0000,237.4655,0.9437,0.2348,16.6707,16.6711,15.6790,0.0008,-1.0000
16.6658,1.0000,237.4818,1.1687,0.2489,16.6707,16.6454,15.3662,0.0010,-1.0000
16.6671,1.0000,237.4986,1.1345,0.2410,16.6620,16.6653,15.6700,0.0008,-1.0000
16.6672,1.0000,237.5152,0.9333,0.2376,16.6645,16.6626,15.6774,0.0009,-1.0000
16.6665,1.0000,237.5319,0.9913,0.2303,16.6779,16.6616,15.7101,0.0010,-1.0000
16.6670,1.0000,237.5486,1.2783,0.2476,16.6507,16.6640,15.7061,0.0009,-1.0000
16.6667,1.0000,237.5654,0.9947,0.2394,16.6702,16.6643,15.7238,0.0008,-1.0000
16.6677,1.0000,237.5819,0.9842,0.2342,16.6677,16.6646,15.4458,0.0013,-1.0000
16.6671,1.0000,237.5986,0.9508,0.2311,16.6664,16.6569,15.4663,0.0013,-1.0000
16.6660,1.0000,237.6153,0.9571,0.2216,16.6689,16.6594,15.6069,0.0009,-1.0000
16.6658,1.0000,237.6320,0.9395,0.2388,16.6701,16.6952,15.6127,0.0009,-1.0000
16.6665,1.0000,237.6486,1.2172,0.2526,16.6707,16.6255,15.4919,0.0014,-1.0000
16.6673,1.0000,237.6653,1.1888,0.2518,16.6635,16.6603,15.6110,0.0010,-1.0000
16.6658,1.0000,237.6819,1.0512,0.2448,16.6654,16.7015,15.5320,0.0014,-1.0000
16.6671,1.0000,237.6986,1.0818,0.2679,16.7000,16.6198,15.6262,0.0013,-1.0000
