frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6680,1.0000,161.8386,1.0521,0.2782,16.6799,16.6639,15.4244,0.0011,-1.0000
16.6649,1.0000,161.8551,1.3322,0.2623,16.7847,16.6239,15.4554,0.0011,-1.0000
16.6682,1.0000,161.8718,1.1771,0.3479,16.5287,16.6678,15.6364,0.0012,-1.0000
16.6681,1.0000,161.8886,1.2031,0.2801,16.6831,16.6621,15.4930,0.0010,-1.0000
16.6631,1.0000,161.9051,1.2382,0.2507,16.6700,16.6420,14.9797,0.0010,-1.0000
16.6667,1.0000,161.9217,1.1676,0.2632,16.6290,16.6590,15.7785,0.0009,-1.0000
16.6701,1.0000,161.9385,1.0304,0.2566,16.6738,16.6780,15.9148,0.0008,-1.0000
16.6653,1.0000,161.9553,1.1680,0.2812,16.6700,16.6808,15.4044,0.0009,-1.0000
16.6663,1.0000,161.9718,1.6612,0.2327,16.6472,16.6884,15.3965,0.0014,-1.0000
16.6669,1.0000,161.9886,0.8797,0.2288,16.6625,16.6658,15.6349,0.0009,-1.0000
16.6664,1.0000,162.0051,0.7624,0.2790,16.6838,16.6412,15.5129,0.0013,-1.0000
16.6668,1.0000,162.0219,1.2755,0.2367,16.6870,16.6699,15.6991,0.0011,-1.0000
16.6667,1.0000,162.0386,1.2905,0.3167,16.6937,16.6883,15.6028,0.0009,-1.0000
16.6658,1.0000,162.0551,1.0300,0.2264,16.6711,16.6201,15.5208,0.0009,-1.0000
16.6684,1.0000,162.0718,1.1267,0.2744,16.6463,16.6699,15.6629,0.0011,-1.0000
16.6660,1.0000,162.0885,0.9697,0.2412,16.6754,16.7002,15.6195,0.0011,-1.0000
16.6679,1.0000,162.1052,1.0847,0.2668,16.6940,16.5943,15.6275,0.0011,-1.0000
16.6649,1.0000,162.1218,1.0984,0.2575,16.6253,16.6465,15.6120,0.0010,-1.0000
16.6672,1.0000,162.1385,1.0059,0.2248,16.6751,16.6642,15.6474,0.0011,-1.0000
16.6678,1.0000,162.1552,1.0797,0.2359,16.7058,16.6666,15.6600,0.0014,-1.0000
16.6661,1.0000,162.1717,0.9655,0.2390,16.6008,16.6604,15.6179,0.0009,-1.0000
16.6675,1.0000,162.1885,1.0334,0.2354,16.6515,16.6632,15.7781,0.0009,-1.0000
16.6660,1.0000,162.2063,1.0160,0.3181,16.6699,16.6989,15.6331,0.0010,-1.0000
16.6666,1.0000,162.2218,1.0052,0.2434,16.6723,16.6179,14.3150,0.0010,-1.0000
16.6675,1.0000,162.2385,1.0416,0.2503,16.6647,16.6650,15.6886,0.0012,-1.0000
16.6665,1.0000,162.2551,0.8844,0.2357,16.6693,16.6619,15.5900,0.0010,-1.0000
16.6679,1.0000,162.2718,1.0650,0.3614,16.7045,16.6769,15.6586,0.0009,-1.0000
16.6658,1.0000,162.2885,2.3020,0.2987,16.6223,16.6417,15.5065,0.0009,-1.0000
16.6669,1.0000,162.3052,0.9754,0.4145,16.6705,16.6653,15.6004,0.0008,-1.0000
16.6654,1.0000,162.3218,1.0710,0.2813,16.6670,16.6550,15.6043,0.0010,-1.0000
16.6677,1.0000,162.3385,1.0177,0.2881,16.6833,16.6696,15.6219,0.0010,-1.0000
16.6671,1.0000,162.3551,1.1343,0.2706,16.6478,16.6538,15.6031,0.0012,-1.0000
16.6663,1.0000,162.3718,1.0641,0.3082,16.6706,16.6679,15.6280,0.0011,-1.0000
16.6668,1.0000,162.3885,1.0498,0.2687,16.6600,16.6568,15.6414,0.0011,-1.0000
16.6668,1.0000,162.4051,1.0468,0.2775,16.6742,16.6661,15.6327,0.0010,-1.0000
16.6676,1.0000,162.4218,1.0495,0.2835,16.6591,16.6635,15.6533,0.0007,-1.0000
16.6659,1.0000,162.4385,1.0389,0.2619,16.6731,16.6601,15.5929,0.0009,-1.0000
16.6665,1.0000,162.4552,1.0145,0.3141,16.6627,16.6559,15.6008,0.0010,-1.0000
16.6672,1.0000,162.4717,1.0325,0.2584,16.6713,16.6625,15.6063,0.0010,-1.0000
16.6668,1.0000,162.4885,1.0093,0.2702,16.6683,16.7068,15.7026,0.0008,-1.0000
16.6668,1.0000,162.5051,1.0661,0.2689,16.6660,16.6173,15.4882,0.0012,-1.0000
16.6673,1.0000,162.5218,1.0542,0.2585,16.6607,16.6656,15.6572,0.0010,-1.0000
16.6658,1.0000,162.5385,1.0554,0.2973,16.6677,16.7009,15.5526,0.0011,-1.0000
16.6667,1.0000,162.5551,1.0034,0.2716,16.7120,16.6156,15.4965,0.0010,-1.0000
16.6670,1.0000,162.5717,1.1278,0.2646,16.6224,16.6666,15.6360,0.0011,-1.0000
16.6672,1.0000,162.5885,1.0075,0.2836,16.6711,16.7061,15.6527,0.0009,-1.0000
16.6664,1.0000,162.6052,1.1472,0.2873,16.7056,16.6181,15.5560,0.0011,-1.0000
16.6665,1.0000,162.6218,1.1181,0.3463,16.6209,16.6556,15.6143,0.0010,-1.0000
16.6667,1.0000,162.6385,1.0295,0.2663,16.6716,16.6665,15.6540,0.0010,-1.0000
16.6662,1.0000,162.6552,1.0526,0.2746,16.7114,16.6919,15.6716,0.0009,-1.0000
16.6678,1.0000,162.6718,1.0609,0.2543,16.6238,16.6741,15.6374,0.0010,-1.0000
16.6671,1.0000,162.6885,1.0401,0.2501,16.6609,16.6599,15.6437,0.0010,-1.0000
16.6660,1.0000,162.7052,1.0117,0.3518,16.6714,16.6608,15.5814,0.0011,-1.0000
16.6669,1.0000,162.7218,1.0193,0.2317,16.6975,16.6833,15.5599,0.0011,-1.0000
16.6673,1.0000,162.7385,1.0357,0.2316,16.6792,16.6246,15.5696,0.0011,-1.0000
16.6662,1.0000,162.7551,1.0152,0.2365,16.6658,16.6578,15.6042,0.0009,-1.0000
16.6674,1.0000,162.7718,1.0783,0.2756,16.6662,16.7595,15.6943,0.0009,-1.0000
16.6664,1.0000,162.7887,1.1228,0.2900,16.6881,16.5873,15.6562,0.0010,-1.0000
16.6666,1.0000,162.8051,1.0540,0.2323,16.6298,16.6520,15.4355,0.0012,-1.0000
16.6670,1.0000,162.8219,1.0526,0.2311,16.6629,16.6886,15.6570,0.0010,-1.0000
16.6671,1.0000,162.8385,1.0643,0.2248,16.7648,16.6036,15.6440,0.0012,-1.0000
16.6659,1.0000,162.8552,0.9301,0.2292,16.5922,16.7000,15.6205,0.0010,-1.0000
16.6665,1.0000,162.8718,1.2156,0.2492,16.6572,16.6652,15.6177,0.0009,-1.0000
