frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6666,1.0000,23.9602,1.6005,0.4293,16.6582,16.7575,15.2618,0.0016,-1.0000
16.6678,1.0000,23.9769,1.5730,0.4540,16.6741,16.5927,15.1836,0.0012,-1.0000
16.6663,1.0000,23.9940,1.3483,0.4950,16.6344,16.6562,15.0571,0.0016,-1.0000
16.6664,1.0000,24.0100,1.3569,0.4166,16.6601,16.6803,14.6283,0.0012,-1.0000
16.6678,1.0000,24.0268,1.4942,0.4578,16.7646,16.5891,15.3356,0.0010,-1.0000
16.6665,1.0000,24.0434,1.4080,0.4480,16.5993,16.7007,15.2595,0.0011,-1.0000
16.6652,1.0000,24.0602,1.5972,0.5035,16.6632,16.6736,15.2567,0.0010,-1.0000
16.6675,1.0000,24.0769,2.0510,0.5893,16.6870,16.6380,15.0697,0.0010,-1.0000
16.6676,1.0000,24.0935,1.2523,0.4727,16.5957,16.6902,15.0294,0.0011,-1.0000
16.6667,1.0000,24.1101,1.4400,0.4425,16.7082,16.6549,15.0536,0.0013,-1.0000
16.6677,1.0000,24.1269,1.4159,0.4887,16.6810,16.6558,15.1466,0.0011,-1.0000
16.6641,1.0000,24.1435,1.5675,0.4728,16.6452,16.6742,15.1092,0.0014,-1.0000
16.6703,1.0000,24.1603,1.6598,0.5670,16.6978,16.6686,15.0925,0.0012,-1.0000
16.6642,1.0000,24.1769,1.5999,0.4996,16.6629,16.5930,14.9767,0.0013,-1.0000
16.6660,1.0000,24.1934,1.5082,0.5382,16.6650,16.6546,15.0526,0.0012,-1.0000
16.6692,1.0000,24.2103,1.5637,0.4533,16.6835,16.8022,15.2274,0.0011,-1.0000
16.6663,1.0000,24.2269,1.5749,0.5456,16.6780,16.5311,14.9502,0.0012,-1.0000
16.6670,1.0000,24.2436,1.6149,0.5443,16.6009,16.6642,14.9154,0.0014,-1.0000
16.6666,1.0000,24.2601,1.6007,0.4899,16.6621,16.6470,15.0196,0.0013,-1.0000
16.6666,1.0000,24.2768,1.5732,0.5997,16.8101,16.6406,15.2636,0.0012,-1.0000
16.6658,1.0000,24.2934,1.5794,0.4961,16.5411,16.6421,15.0786,0.0012,-1.0000
16.6687,1.0000,24.3101,1.7475,0.4282,16.6725,16.6702,15.1819,0.0014,-1.0000
16.6644,1.0000,24.3268,1.6262,0.5191,16.6539,16.6480,15.2296,0.0015,-1.0000
16.6684,1.0000,24.3435,1.3758,0.4613,16.6482,16.6621,15.1835,0.0016,-1.0000
16.6661,1.0000,24.3601,1.5623,0.4646,16.6500,16.6603,15.1341,0.0014,-1.0000
16.6671,1.0000,24.3768,1.4866,0.4837,16.6784,16.6759,15.0606,0.0011,-1.0000
16.6663,1.0000,24.3936,1.4169,0.4823,16.6560,16.6920,15.1449,0.0014,-1.0000
16.6673,1.0000,24.4101,1.4772,0.5954,16.6699,16.6669,14.9336,0.0014,-1.0000
16.6661,1.0000,24.4268,1.5246,0.6289,16.6687,16.6413,15.2324,0.0012,-1.0000
16.6666,1.0000,24.4435,1.6141,0.4960,16.6841,16.6659,15.0565,0.0012,-1.0000
16.6691,1.0000,24.4602,1.5454,0.5482,16.6994,16.6958,15.1579,0.0011,-1.0000
16.6655,1.0000,24.4769,1.7319,0.5342,16.6754,16.6059,15.1426,0.0010,-1.0000
16.6657,1.0000,24.4935,1.4077,0.5792,16.6495,16.6572,14.8169,0.0012,-1.0000
16.6682,1.0000,24.5101,1.6081,0.4785,16.6728,16.7078,15.1618,0.0013,-1.0000
16.6664,1.0000,24.5268,1.5368,0.4608,16.7037,16.5739,15.0630,0.0010,-1.0000
16.6667,1.0000,24.5434,1.4620,0.5416,16.6152,16.6577,15.1578,0.0011,-1.0000
16.6678,1.0000,24.5602,1.8392,0.4715,16.6659,16.6729,15.1530,0.0011,-1.0000
16.6673,1.0000,24.5768,1.5446,0.4982,16.7161,16.6495,15.0166,0.0017,-1.0000
16.6655,1.0000,24.5935,1.5096,0.4449,16.5820,16.6561,15.1530,0.0011,-1.0000
16.6676,1.0000,24.6100,1.4987,0.4327,16.6660,16.6612,15.1519,0.0011,-1.0000
16.6658,1.0000,24.6268,1.5185,0.5412,16.6819,16.6928,15.1880,0.0011,-1.0000
16.6652,1.0000,24.6435,1.6312,0.4506,16.6586,16.6123,15.1190,0.0015,-1.0000
16.6681,1.0000,24.6601,1.5020,0.5960,16.6639,16.6639,15.3148,0.0010,-1.0000
16.6670,1.0000,24.6768,1.5080,0.5135,16.6697,16.6673,15.2884,0.0011,-1.0000
16.6677,1.0000,24.6939,1.5039,0.4834,16.7022,16.6587,14.9612,0.0013,-1.0000
16.6664,1.0000,24.7100,1.4917,0.3920,16.6200,16.6625,14.6674,0.0012,-1.0000
16.6670,1.0000,24.7268,1.3479,0.4515,16.6705,16.6565,15.0570,0.0012,-1.0000
16.6658,1.0000,24.7436,1.3776,0.5662,16.6748,16.6503,15.1195,0.0012,-1.0000
16.6663,1.0000,24.7601,1.6961,0.6118,16.6675,16.6558,14.6648,0.0014,-1.0000
16.6665,1.0000,24.7768,1.9939,0.4884,16.6713,16.6615,15.2689,0.0010,-1.0000
16.6662,1.0000,24.7934,1.5979,0.5470,16.6653,16.6554,15.2968,0.0010,-1.0000
16.6670,1.0000,24.8100,1.5295,0.4806,16.6580,16.6667,15.3929,0.0009,-1.0000
16.6665,1.0000,24.8268,1.9897,0.5377,16.6628,16.6591,15.3821,0.0010,-1.0000
16.6656,1.0000,24.8434,1.3915,0.5364,16.6685,16.6520,15.1958,0.0012,-1.0000
16.6680,1.0000,24.8601,1.3575,0.4615,16.6609,16.6673,15.3543,0.0010,-1.0000
16.6673,1.0000,24.8768,1.2729,0.4986,16.6729,16.6658,15.3204,0.0010,-1.0000
16.6655,1.0000,24.8934,1.2759,0.4259,16.6655,16.6522,15.3052,0.0012,-1.0000
16.6682,1.0000,24.9101,1.4551,0.5862,16.6574,16.7152,15.1753,0.0012,-1.0000
16.6667,1.0000,24.9268,1.3120,0.4589,16.6736,16.6095,15.0488,0.0014,-1.0000
16.6654,1.0000,24.9434,1.3443,0.4069,16.6736,16.6516,15.2558,0.0014,-1.0000
16.6673,1.0000,24.9601,1.3459,0.3898,16.6596,16.7128,15.3593,0.0013,-1.0000
16.6672,1.0000,24.9768,1.5389,0.4140,16.7228,16.6189,15.3163,0.0011,-1.0000
16.6666,1.0000,24.9935,1.5592,0.5609,16.6170,16.6568,15.2576,0.0013,-1.0000
16.6665,1.0000,25.0101,1.3943,0.4087,16.6580,16.6971,15.2285,0.0011,-1.0000
16.6665,1.0000,25.0267,1.3524,0.4016,16.7188,16.6176,15.2398,0.0012,-1.0000
16.6670,1.0000,25.0434,1.3014,0.4093,16.6260,16.6524,15.3769,0.0009,-1.0000
16.6665,1.0000,25.0601,1.3973,0.4120,16.6652,16.6652,15.3846,0.0012,-1.0000
16.6673,1.0000,25.0769,1.4676,0.5102,16.7050,16.7066,15.2950,0.0054,-1.0000
16.6677,1.0000,25.0935,1.3766,0.3892,16.6250,16.6615,15.2002,0.0014,-1.0000
16.6656,1.0000,25.1100,1.2744,0.3867,16.6589,16.6453,15.2212,0.0011,-1.0000
16.6661,1.0000,25.1268,1.2796,0.3853,16.6723,16.6659,15.3955,0.0011,-1.0000
16.6691,1.0000,25.1436,1.4062,0.4184,16.7141,16.7182,15.2928,0.0011,-1.0000
16.6651,1.0000,25.1602,1.4598,0.4122,16.6700,16.5999,15.0159,0.0012,-1.0000
16.6663,1.0000,25.1768,1.4228,0.3820,16.6527,16.6534,15.2648,0.0010,-1.0000
16.6675,1.0000,25.1935,1.2691,0.4505,16.6718,16.7556,15.1990,0.0015,-1.0000
16.6655,1.0000,25.2100,1.4242,0.4158,16.7250,16.5654,15.2390,0.0007,-1.0000
16.6670,1.0000,25.2268,1.5825,0.3851,16.6070,16.6824,15.4874,0.0010,-1.0000
16.6672,1.0000,25.2435,1.3873,0.4693,16.6597,16.6848,15.1523,0.0012,-1.0000
16.6666,1.0000,25.2601,1.5550,0.4286,16.7623,16.5771,15.3778,0.0011,-1.0000
16.6681,1.0000,25.2768,1.3256,0.4553,16.5723,16.7030,15.3163,0.0013,-1.0000
16.6651,1.0000,25.2935,1.1941,0.4267,16.6897,16.6596,15.2762,0.0013,-1.0000
16.6667,1.0000,25.3101,1.5312,0.3697,16.6913,16.6513,15.2557,0.0012,-1.0000
16.6670,1.0000,25.3268,1.1983,0.4778,16.5821,16.6928,15.2147,0.0014,-1.0000
16.6670,1.0000,25.3434,1.3854,0.3996,16.7102,16.6257,15.3607,0.0013,-1.0000
16.6672,1.0000,25.3601,1.3818,0.4173,16.6651,16.6639,15.1413,0.0014,-1.0000
16.6663,1.0000,25.3774,1.3944,0.4015,16.6578,16.6908,15.3160,0.0012,-1.0000
16.6665,1.0000,25.3935,1.4769,0.4152,16.6982,16.6850,14.4859,0.0016,-1.0000
16.6679,1.0000,25.4100,1.2637,0.5708,16.6317,16.6130,15.2147,0.0012,-1.0000
16.6647,1.0000,25.4267,1.5210,0.4161,16.6707,16.6677,15.2141,0.0015,-1.0000
16.6682,1.0000,25.4435,1.3738,0.5437,16.6981,16.7415,15.3888,0.0008,-1.0000
16.6663,1.0000,25.4602,2.1978,0.4248,16.6918,16.5586,15.2354,0.0012,-1.0000
16.6672,1.0000,25.4768,1.3977,0.5290,16.6196,16.6750,15.2636,0.0015,-1.0000
16.6659,1.0000,25.4935,1.4520,0.4249,16.6734,16.6442,15.2583,0.0010,-1.0000
16.6686,1.0000,25.5100,1.3517,0.4927,16.7476,16.6370,15.3235,0.0010,-1.0000
16.6650,1.0000,25.5267,1.3219,0.4290,16.5649,16.6546,15.2423,0.0016,-1.0000
16.6673,1.0000,25.5434,1.4096,0.4304,16.6818,16.6585,15.3242,0.0011,-1.0000
16.6667,1.0000,25.5601,1.3851,0.4519,16.6509,16.6671,15.3957,0.0010,-1.0000
