frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6669,1.0000,41.8010,1.3519,0.3802,16.6881,16.5773,15.3934,0.0009,-1.0000
16.6666,1.0000,41.8177,1.2919,0.3707,16.6213,16.6673,15.4091,0.0010,-1.0000
16.6663,1.0000,41.8343,1.3024,0.3749,16.6604,16.6481,15.2586,0.0015,-1.0000
16.6658,1.0000,41.8510,1.2652,0.3622,16.7235,16.6752,15.4328,0.0008,-1.0000
16.6680,1.0000,41.8676,1.1826,0.3640,16.5839,16.6498,15.4757,0.0010,-1.0000
16.6661,1.0000,41.8842,1.2572,0.4487,16.6746,16.6596,15.4115,0.0010,-1.0000
16.6679,1.0000,41.9012,1.3881,0.3987,16.6541,16.7273,15.5316,0.0009,-1.0000
16.6688,1.0000,41.9178,1.2418,0.3902,16.6808,16.6041,15.0359,0.0013,-1.0000
16.6656,1.0000,41.9344,1.1731,0.3970,16.6553,16.6641,15.0077,0.0013,-1.0000
16.6661,1.0000,41.9511,1.2469,0.3514,16.6656,16.6488,15.1082,0.0014,-1.0000
16.6662,1.0000,41.9677,1.1949,0.5245,16.7342,16.6627,15.0983,0.0013,-1.0000
16.6683,1.0000,41.9843,1.5668,0.4600,16.6124,16.6607,15.2471,0.0013,-1.0000
16.6661,1.0000,42.0011,1.6548,0.5058,16.6733,16.6586,15.2602,0.0013,-1.0000
16.6646,1.0000,42.0176,1.5391,0.4677,16.6573,16.6369,15.2031,0.0012,-1.0000
16.6691,1.0000,42.0344,1.5631,0.5162,16.6709,16.6757,15.3776,0.0010,-1.0000
16.6667,1.0000,42.0511,1.4123,0.4644,16.6689,16.6573,15.2417,0.0012,-1.0000
16.6662,1.0000,42.0678,1.3969,0.4051,16.6738,16.6649,15.2103,0.0016,-1.0000
16.6659,1.0000,42.0843,1.4326,0.5079,16.6438,16.6395,15.1453,0.0016,-1.0000
16.6685,1.0000,42.1010,1.2971,0.4316,16.6834,16.6715,15.4089,0.0014,-1.0000
16.6661,1.0000,42.1177,1.4144,0.3899,16.6662,16.6493,15.2217,0.0013,-1.0000
16.6676,1.0000,42.1344,1.4529,0.4904,16.6740,16.6616,15.2622,0.0012,-1.0000
16.6678,1.0000,42.1511,1.4926,0.3585,16.6474,16.6684,15.1491,0.0013,-1.0000
16.6656,1.0000,42.1679,1.2612,0.4824,16.6810,16.7037,15.1187,0.0016,-1.0000
16.6669,1.0000,42.1844,1.4262,0.4749,16.6579,16.6590,14.9688,0.0011,-1.0000
16.6658,1.0000,42.2010,1.3982,0.3871,16.6692,16.5990,15.1803,0.0018,-1.0000
16.6673,1.0000,42.2177,1.5179,0.4374,16.6768,16.6547,15.0963,0.0015,-1.0000
16.6682,1.0000,42.2345,1.5834,0.4480,16.7141,16.7177,15.0644,0.0016,-1.0000
16.6665,1.0000,42.2511,1.6893,0.4849,16.6682,16.6060,15.0502,0.0015,-1.0000
16.6671,1.0000,42.2678,1.4170,0.5463,16.6087,16.6478,15.1431,0.0014,-1.0000
16.6661,1.0000,42.2844,1.5572,0.3967,16.6690,16.7088,15.1313,0.0013,-1.0000
16.6675,1.0000,42.3011,1.6518,0.3873,16.7279,16.6050,15.0195,0.0013,-1.0000
16.6673,1.0000,42.3178,1.5543,0.3904,16.6167,16.6644,15.0355,0.0017,-1.0000
16.6649,1.0000,42.3345,1.5030,0.4816,16.6571,16.6444,15.0739,0.0013,-1.0000
16.6666,1.0000,42.3511,1.5762,0.4632,16.7194,16.7233,14.9713,0.0016,-1.0000
16.6661,1.0000,42.3678,1.5842,0.4177,16.6158,16.6587,15.1158,0.0012,-1.0000
16.6669,1.0000,42.3843,1.6268,0.3815,16.6762,16.6275,15.2451,0.0011,-1.0000
16.6692,1.0000,42.4012,1.5689,0.4121,16.6554,16.7036,15.4264,0.0010,-1.0000
16.6656,1.0000,42.4178,1.7509,0.4278,16.7337,16.6508,15.0812,0.0012,-1.0000
16.6658,1.0000,42.4344,1.5415,0.3508,16.6675,16.6073,15.1833,0.0017,-1.0000
16.6677,1.0000,42.4511,1.3812,0.3729,16.6351,16.6660,15.3356,0.0011,-1.0000
16.6667,1.0000,42.4678,1.2764,0.3851,16.7136,16.7455,15.2668,0.0010,-1.0000
16.6660,1.0000,42.4843,1.5685,0.4264,16.6585,16.5801,15.3104,0.0012,-1.0000
16.6679,1.0000,42.5011,1.4222,0.4805,16.6131,16.6734,15.3619,0.0010,-1.0000
16.6659,1.0000,42.5178,1.3292,0.3698,16.6719,16.6898,15.2313,0.0012,-1.0000
16.6691,1.0000,42.5345,1.4776,0.3448,16.7523,16.5873,15.1321,0.0013,-1.0000
16.6663,1.0000,42.5511,1.2682,0.3770,16.5874,16.7102,15.0375,0.0017,-1.0000
16.6670,1.0000,42.5679,1.3103,0.3633,16.6808,16.6815,15.1795,0.0013,-1.0000
16.6663,1.0000,42.5843,1.4574,0.3958,16.6966,16.6125,14.8566,0.0012,-1.0000
16.6664,1.0000,42.6011,1.4537,0.5274,16.5951,16.6794,15.2570,0.0011,-1.0000
16.6672,1.0000,42.6178,1.6709,0.4315,16.7181,16.6535,15.1460,0.0012,-1.0000
16.6672,1.0000,42.6344,1.5003,0.4606,16.6927,16.6380,15.0893,0.0014,-1.0000
16.6652,1.0000,42.6511,1.7547,0.4140,16.6221,16.6758,15.0945,0.0010,-1.0000
16.6666,1.0000,42.6678,1.4212,0.5978,16.6876,16.6541,15.1564,0.0013,-1.0000
16.6677,1.0000,42.6843,1.5062,0.5073,16.6617,16.6521,15.0606,0.0015,-1.0000
16.6673,1.0000,42.7011,1.5473,0.4191,16.6465,16.6601,15.2735,0.0012,-1.0000
16.6661,1.0000,42.7179,1.5802,0.4251,16.6837,16.7655,15.0626,0.0011,-1.0000
16.6674,1.0000,42.7344,1.4965,0.5463,16.6611,16.5378,14.9117,0.0013,-1.0000
16.6663,1.0000,42.7511,1.5902,0.4657,16.6609,16.6671,15.1213,0.0015,-1.0000
16.6668,1.0000,42.7677,1.3852,0.5197,16.6698,16.6507,15.2042,0.0013,-1.0000
16.6650,1.0000,42.7842,1.7020,0.4670,16.7747,16.6169,15.2121,0.0014,-1.0000
16.6666,1.0000,42.8010,1.6247,0.4599,16.5464,16.6604,15.4932,0.0011,-1.0000
16.6690,1.0000,42.8178,1.5447,0.4659,16.6766,16.6663,15.2202,0.0011,-1.0000
16.6638,1.0000,42.8343,1.4454,0.4432,16.6581,16.6538,15.1414,0.0014,-1.0000
16.6680,1.0000,42.8510,1.4032,0.3392,16.6238,16.6628,15.3857,0.0010,-1.0000
16.6667,1.0000,42.8677,1.1658,0.3810,16.6660,16.6615,15.3634,0.0014,-1.0000
16.6665,1.0000,42.8843,1.4449,0.4265,16.6743,16.6880,15.2123,0.0009,-1.0000
16.6671,1.0000,42.9012,1.5109,0.4257,16.6611,16.6868,15.3413,0.0008,-1.0000
16.6666,1.0000,42.9177,1.2759,0.4238,16.6695,16.6472,15.1539,0.0012,-1.0000
16.6666,1.0000,42.9344,1.2965,0.3972,16.6678,16.6518,15.2969,0.0011,-1.0000
16.6666,1.0000,42.9510,1.4746,0.3822,16.6949,16.6715,15.3742,0.0010,-1.0000
16.6657,1.0000,42.9677,1.3446,0.4112,16.6938,16.6805,15.3364,0.0009,-1.0000
16.6678,1.0000,42.9843,1.4924,0.3752,16.6540,16.6274,15.3568,0.0011,-1.0000
16.6665,1.0000,43.0011,1.3538,0.4383,16.6579,16.6577,15.3890,0.0011,-1.0000
