frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6667,1.0000,4.7646,1.8794,0.4431,16.6846,16.7050,15.0307,0.0015,-1.0000
16.6669,1.0000,4.7806,1.6875,0.4031,16.7056,16.5546,14.4255,0.0015,-1.0000
16.6660,1.0000,4.7973,1.3065,0.4741,16.6193,16.6649,15.2050,0.0015,-1.0000
16.6674,1.0000,4.8138,1.3766,0.5075,16.6800,16.6497,15.2678,0.0013,-1.0000
16.6657,1.0000,4.8306,1.6727,0.4802,16.7152,16.6528,15.2635,0.0022,-1.0000
16.6680,1.0000,4.8472,2.1278,0.4232,16.5646,16.6638,15.3905,0.0010,-1.0000
16.6667,1.0000,4.8640,1.4584,0.4804,16.6742,16.6650,15.2352,0.0014,-1.0000
16.6669,1.0000,4.8807,1.3807,0.4280,16.6610,16.7108,15.1319,0.0014,-1.0000
16.6664,1.0000,4.8972,1.3873,0.3510,16.6610,16.5980,14.7615,0.0014,-1.0000
16.6672,1.0000,4.9138,1.2719,0.4803,16.6718,16.6579,15.2691,0.0011,-1.0000
16.6666,1.0000,4.9306,1.4282,0.4393,16.6741,16.6607,15.2823,0.0013,-1.0000
16.6665,1.0000,4.9476,1.5777,0.5100,16.7213,16.6548,15.1454,0.0011,-1.0000
16.6655,1.0000,4.9639,1.8348,0.3949,16.6086,16.6540,14.6859,0.0022,-1.0000
16.6685,1.0000,4.9806,1.3872,0.4351,16.6673,16.6729,15.1386,0.0016,-1.0000
16.6698,1.0000,4.9976,1.3770,0.5476,16.6701,16.6800,15.2646,0.0016,-1.0000
16.6625,1.0000,5.0138,1.5081,0.4659,16.6643,16.5997,14.9640,0.0014,-1.0000
16.6674,1.0000,5.0306,1.9662,0.3962,16.6635,16.6654,15.2618,0.0011,-1.0000
16.6666,1.0000,5.0473,1.5329,0.4088,16.6858,16.6537,15.0444,0.0011,-1.0000
16.6672,1.0000,5.0639,1.4132,0.4180,16.6995,16.6612,15.1485,0.0012,-1.0000
16.6674,1.0000,5.0807,1.6342,0.4817,16.6113,16.6649,15.2818,0.0023,-1.0000
16.6680,1.0000,5.0973,1.4024,0.6528,16.6737,16.6487,15.2231,0.0013,-1.0000
16.6651,1.0000,5.1138,1.6081,0.4033,16.6628,16.6497,15.0140,0.0017,-1.0000
16.6668,1.0000,5.1308,1.5117,0.4115,16.6713,16.6524,15.2258,0.0015,-1.0000
16.6669,1.0000,5.1473,1.3808,0.3639,16.6784,16.6743,15.0801,0.0011,-1.0000
16.6720,1.0000,5.1641,1.4241,0.4963,16.6616,16.7178,15.2408,0.0014,-1.0000
16.6630,1.0000,5.1807,1.6341,0.4976,16.6601,16.5969,14.9780,0.0013,-1.0000
16.6629,1.0000,5.1972,1.4248,0.4215,16.6620,16.6197,15.1351,0.0012,-1.0000
16.6688,1.0000,5.2138,1.5932,0.4328,16.6877,16.7165,15.2030,0.0016,-1.0000
16.6691,1.0000,5.2306,1.4754,0.4472,16.7319,16.6192,15.2474,0.0014,-1.0000
16.6638,1.0000,5.2477,1.6171,0.4105,16.6100,16.6495,14.8775,0.0016,-1.0000
16.6680,1.0000,5.2640,1.4833,0.4399,16.6293,16.7092,14.7767,0.0012,-1.0000
16.6669,1.0000,5.2808,1.5119,0.4256,16.7242,16.6133,14.7803,0.0019,-1.0000
16.6681,1.0000,5.2974,1.3704,0.5466,16.6301,16.6549,14.5568,0.0012,-1.0000
16.6660,1.0000,5.3139,1.7703,0.4106,16.6583,16.6516,15.0840,0.0014,-1.0000
16.6673,1.0000,5.3307,1.9312,0.5268,16.7186,16.7190,15.3066,0.0013,-1.0000
16.6662,1.0000,5.3473,1.8314,0.5332,16.6237,16.6420,15.0142,0.0014,-1.0000
16.6668,1.0000,5.3639,2.0972,0.4487,16.6665,16.6535,15.0763,0.0012,-1.0000
16.6672,1.0000,5.3807,1.5665,0.4693,16.6637,16.6747,15.2680,0.0014,-1.0000
16.6672,1.0000,5.3974,1.4149,0.5039,16.7337,16.7196,15.0757,0.0013,-1.0000
16.6677,1.0000,5.4139,1.6266,0.4250,16.6540,16.5765,14.8251,0.0015,-1.0000
16.6661,1.0000,5.4306,1.5757,0.4160,16.6628,16.6366,15.2914,0.0011,-1.0000
16.6662,1.0000,5.4474,1.4054,0.4331,16.6856,16.7580,15.3015,0.0013,-1.0000
16.6665,1.0000,5.4640,1.6425,0.4295,16.7322,16.5755,15.1218,0.0012,-1.0000
16.6671,1.0000,5.4806,1.7498,0.4017,16.5884,16.6549,15.0854,0.0018,-1.0000
16.6672,1.0000,5.4976,1.3442,0.3811,16.6459,16.7007,15.0455,0.0013,-1.0000
16.6656,1.0000,5.5138,1.4552,0.4533,16.7675,16.5578,14.7047,0.0014,-1.0000
16.6670,1.0000,5.5306,1.4524,0.6197,16.5851,16.7015,15.3262,0.0011,-1.0000
16.6670,1.0000,5.5473,1.5680,0.3680,16.6645,16.6716,15.1428,0.0011,-1.0000
16.6664,1.0000,5.5640,1.6539,0.4052,16.7127,16.6356,15.2852,0.0017,-1.0000
16.6672,1.0000,5.5806,1.8519,0.4458,16.5685,16.6864,15.2625,0.0012,-1.0000
16.6660,1.0000,5.5973,1.3742,0.3952,16.7104,16.6223,15.3033,0.0014,-1.0000
16.6666,1.0000,5.6138,1.5275,0.3731,16.6815,16.6645,15.2651,0.0015,-1.0000
16.6662,1.0000,5.6306,1.3481,0.4499,16.6450,16.6694,15.4093,0.0011,-1.0000
16.6683,1.0000,5.6474,1.4226,0.3597,16.6962,16.6986,15.2365,0.0016,-1.0000
16.6662,1.0000,5.6640,1.3175,0.3678,16.6309,16.5930,15.1525,0.0012,-1.0000
16.6665,1.0000,5.6806,1.3976,0.3915,16.6736,16.6648,15.2969,0.0015,-1.0000
16.6658,1.0000,5.6974,1.2586,0.4014,16.6775,16.7583,15.3237,0.0011,-1.0000
16.6682,1.0000,5.7139,1.4605,0.3601,16.7084,16.5655,15.0919,0.0013,-1.0000
16.6666,1.0000,5.7351,1.4393,0.3844,16.6019,16.6550,15.2293,0.0016,-1.0000
16.6683,1.0000,5.7475,1.3666,0.4314,16.6738,16.6754,10.0922,0.0028,-1.0000
16.6836,1.0000,5.7640,1.4335,0.4729,16.7657,16.6103,14.5176,0.0017,-1.0000
16.6481,1.0000,5.7806,1.4721,0.5029,16.5758,16.6372,15.1352,0.0017,-1.0000
16.6670,1.0000,5.7973,1.4241,1.1651,16.6639,16.6600,15.3064,0.0014,-1.0000
16.6658,1.0000,5.8138,6.5807,0.5094,16.6880,16.6501,15.2601,0.0016,-1.0000
16.6668,1.0000,5.8306,2.0905,0.4273,16.6225,16.6586,15.3438,0.0015,-1.0000
16.6662,1.0000,5.8473,1.5006,0.4471,16.6474,16.6574,15.3390,0.0013,-1.0000
16.6678,1.0000,5.8639,1.3524,0.3917,16.6704,16.6921,15.1383,0.0012,-1.0000
16.6641,1.0000,5.8806,1.3883,0.3724,16.6590,16.7077,14.7571,0.0013,-1.0000
16.6674,1.0000,5.8973,1.3133,0.3758,16.6680,16.6452,15.4048,0.0010,-1.0000
16.6695,1.0000,5.9139,1.3171,0.3952,16.6652,16.6462,15.0056,0.0015,-1.0000
16.6652,1.0000,5.9307,1.5527,0.3892,16.7008,16.6665,15.1471,0.0012,-1.0000
16.6674,1.0000,5.9474,1.9497,0.3223,16.7144,16.6914,15.2072,0.0013,-1.0000
16.6684,1.0000,5.9641,1.2392,0.4992,16.6525,16.6152,15.1367,0.0013,-1.0000
16.6645,1.0000,5.9817,1.6387,0.4753,16.6552,16.6359,14.9654,0.0017,-1.0000
16.6668,1.0000,5.9983,1.5182,0.4345,16.6751,16.7106,13.6721,0.0031,-1.0000
16.6673,1.0000,6.0138,1.4830,0.4439,16.7005,16.5718,14.0984,0.0014,-1.0000
16.6667,1.0000,6.0306,1.4774,0.5668,16.6261,16.6562,15.2888,0.0014,-1.0000
16.6668,1.0000,6.0472,1.6687,0.6061,16.6455,16.6605,15.1674,0.0015,-1.0000
