frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6652,1.0000,162.1654,0.8597,0.1864,16.6634,16.6486,15.6623,0.0008,-1.0000
16.6669,1.0000,162.1819,0.7774,0.2358,16.6732,16.6631,15.6990,0.0010,-1.0000
16.6669,1.0000,162.1987,0.9529,0.2104,16.6578,16.7158,15.8777,0.0008,-1.0000
16.6663,1.0000,162.2151,0.7979,0.2338,16.6815,16.6072,15.5178,0.0011,-1.0000
16.6687,1.0000,162.2320,0.9858,0.2041,16.6525,16.6782,15.9566,0.0009,-1.0000
16.6650,1.0000,162.2486,0.9631,0.2293,16.6674,16.6927,15.6169,0.0010,-1.0000
16.6672,1.0000,162.2652,0.8372,0.2313,16.7198,16.6223,15.8471,0.0010,-1.0000
16.6667,1.0000,162.2820,1.0883,0.2095,16.6106,16.6677,15.8218,0.0013,-1.0000
16.6662,1.0000,162.2986,0.7204,0.2296,16.6829,16.7155,15.7093,0.0011,-1.0000
16.6681,1.0000,162.3152,1.0748,0.2162,16.6963,16.6103,15.7385,0.0017,-1.0000
16.6652,1.0000,162.3319,0.7737,0.2464,16.6267,16.6530,15.7561,0.0009,-1.0000
16.6676,1.0000,162.3486,0.8446,0.2214,16.6719,16.6726,15.9188,0.0009,-1.0000
16.6664,1.0000,162.3653,1.0051,0.2292,16.7192,16.6952,15.6618,0.0009,-1.0000
16.6668,1.0000,162.3820,0.8698,0.2537,16.6151,16.6883,15.7331,0.0010,-1.0000
16.6669,1.0000,162.3987,0.8963,0.2001,16.6562,16.6448,15.7409,0.0012,-1.0000
16.6661,1.0000,162.4152,0.7529,0.2298,16.6772,16.6443,15.5282,0.0009,-1.0000
16.6676,1.0000,162.4322,1.0327,0.2250,16.6990,16.7232,15.9510,0.0012,-1.0000
16.6657,1.0000,162.4486,0.9543,0.2074,16.6939,16.5984,15.3201,0.0008,-1.0000
16.6674,1.0000,162.4655,0.9024,0.2462,16.6496,16.6695,15.8018,0.0011,-1.0000
16.6665,1.0000,162.4821,1.1153,0.1967,16.6481,16.7489,15.5892,0.0008,-1.0000
16.6662,1.0000,162.4986,0.7710,0.2526,16.7280,16.5666,15.5915,0.0011,-1.0000
16.6683,1.0000,162.5153,1.2776,0.2184,16.6022,16.6978,15.9005,0.0011,-1.0000
16.6652,1.0000,162.5320,0.8665,0.2136,16.6738,16.6704,15.6351,0.0008,-1.0000
16.6676,1.0000,162.5487,1.1589,0.2238,16.7534,16.6057,15.6668,0.0012,-1.0000
16.6663,1.0000,162.5653,0.9741,0.2162,16.5700,16.7044,15.5850,0.0014,-1.0000
16.6664,1.0000,162.5819,0.7962,0.2162,16.7021,16.6474,15.7759,0.0014,-1.0000
16.6676,1.0000,162.5987,1.0348,0.2107,16.6743,16.6796,15.8654,0.0009,-1.0000
16.6655,1.0000,162.6152,0.9376,0.2756,16.6103,16.6336,15.5828,0.0011,-1.0000
16.6685,1.0000,162.6320,1.1182,0.2188,16.7086,16.6813,15.8502,0.0011,-1.0000
16.6650,1.0000,162.6486,0.8702,0.2406,16.6510,16.6548,15.5130,0.0013,-1.0000
16.6675,1.0000,162.6653,0.8134,0.2543,16.6845,16.6972,15.8543,0.0011,-1.0000
16.6664,1.0000,162.6820,1.0499,0.1955,16.6381,16.6311,15.7293,0.0009,-1.0000
16.6669,1.0000,162.6987,0.8299,0.3452,16.6856,16.6566,15.7032,0.0009,-1.0000
16.6673,1.0000,162.7153,1.1406,0.2174,16.6584,16.7583,15.7251,0.0012,-1.0000
16.6659,1.0000,162.7319,0.8420,0.2124,16.7014,16.5420,15.5310,0.0010,-1.0000
16.6679,1.0000,162.7487,0.9009,0.2498,16.6351,16.6917,15.8374,0.0009,-1.0000
16.6659,1.0000,162.7654,0.9524,0.1946,16.6601,16.6477,15.6834,0.0011,-1.0000
16.6663,1.0000,162.7819,1.0318,0.2453,16.7626,16.6351,15.6236,0.0009,-1.0000
16.6673,1.0000,162.7986,1.0101,0.2213,16.5453,16.6700,15.8304,0.0008,-1.0000
16.6663,1.0000,162.8152,0.8532,0.2155,16.6959,16.6577,15.7047,0.0011,-1.0000
16.6674,1.0000,162.8320,0.9635,0.2490,16.6535,16.6715,15.8689,0.0010,-1.0000
16.6661,1.0000,162.8486,1.0106,0.2053,16.6390,16.6565,15.6486,0.0009,-1.0000
16.6665,1.0000,162.8652,0.8389,0.2261,16.6741,16.6601,15.8424,0.0009,-1.0000
16.6673,1.0000,162.8820,0.9520,0.2407,16.6610,16.6986,15.8225,0.0009,-1.0000
16.6664,1.0000,162.8986,0.8016,0.2431,16.6753,16.6696,15.6284,0.0015,-1.0000
16.6681,1.0000,162.9153,1.0074,0.2246,16.6603,16.6711,15.7759,0.0011,-1.0000
16.6655,1.0000,162.9320,0.8168,0.2437,16.6633,16.6496,15.6001,0.0011,-1.0000
16.6664,1.0000,162.9486,0.8753,0.2856,16.7028,16.6568,15.7203,0.0012,-1.0000
16.6675,1.0000,162.9654,1.0399,0.2257,16.6738,16.7189,15.8380,0.0008,-1.0000
