frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6676,1.0000,132.1182,0.9069,0.2574,16.6599,16.7013,15.9958,0.0009,-1.0000
16.6661,1.0000,132.1348,0.7516,0.2390,16.6752,16.6380,15.6883,0.0011,-1.0000
16.6666,1.0000,132.1515,0.9086,0.2613,16.6747,16.6659,15.9329,0.0010,-1.0000
16.6671,1.0000,132.1681,0.8278,0.2214,16.6824,16.6703,15.8044,0.0009,-1.0000
16.6667,1.0000,132.1848,0.7045,0.3013,16.7059,16.6886,15.7213,0.0012,-1.0000
16.6670,1.0000,132.2014,0.9487,0.2362,16.6423,16.6351,15.7997,0.0008,-1.0000
16.6662,1.0000,132.2181,0.7320,0.2945,16.6713,16.6429,15.7806,0.0010,-1.0000
16.6671,1.0000,132.2349,0.8649,0.2396,16.6742,16.7080,15.9240,0.0010,-1.0000
16.6661,1.0000,132.2518,0.9662,0.2359,16.6934,16.5922,15.7695,0.0010,-1.0000
16.6681,1.0000,132.2681,0.8347,0.2563,16.6398,16.6704,14.5528,0.0010,-1.0000
16.6661,1.0000,132.2847,0.8613,0.2314,16.6469,16.6591,15.7805,0.0010,-1.0000
16.6663,1.0000,132.3013,0.7832,0.2511,16.7126,16.6577,15.9417,0.0008,-1.0000
16.6667,1.0000,132.3181,0.8216,0.2423,16.5954,16.6678,16.0911,0.0008,-1.0000
16.6664,1.0000,132.3347,2.1167,0.2422,16.6750,16.6546,15.8764,0.0007,-1.0000
16.6677,1.0000,132.3514,0.8775,0.2422,16.6638,16.7164,16.0583,0.0008,-1.0000
16.6663,1.0000,132.3681,0.7154,0.2272,16.6611,16.6136,15.7817,0.0009,-1.0000
16.6667,1.0000,132.3847,0.5760,0.2332,16.6730,16.6639,15.9040,0.0010,-1.0000
16.6669,1.0000,132.4014,0.7776,0.2613,16.6576,16.6675,16.0362,0.0011,-1.0000
16.6660,1.0000,132.4180,0.6575,0.2350,16.7208,16.6496,15.7857,0.0008,-1.0000
16.6670,1.0000,132.4347,0.8312,0.2423,16.6179,16.6705,16.0664,0.0008,-1.0000
16.6666,1.0000,132.4514,0.7591,0.2181,16.6678,16.6564,15.9118,0.0006,-1.0000
16.6670,1.0000,132.4680,0.6302,0.2660,16.6732,16.6694,16.0568,0.0008,-1.0000
16.6667,1.0000,132.4847,0.8632,0.2338,16.6534,16.6597,15.9469,0.0006,-1.0000
16.6666,1.0000,132.5013,0.6034,0.2324,16.6748,16.6603,15.9168,0.0009,-1.0000
16.6686,1.0000,132.5181,0.7440,0.2336,16.6597,16.6776,16.0412,0.0008,-1.0000
16.6648,1.0000,132.5347,0.6118,0.2369,16.6736,16.6450,15.7247,0.0016,-1.0000
16.6678,1.0000,132.5514,0.7122,0.2508,16.6644,16.6711,16.0515,0.0008,-1.0000
16.6660,1.0000,132.5683,0.7428,0.2357,16.6638,16.6583,15.7978,0.0009,-1.0000
16.6659,1.0000,132.5849,0.6358,0.2524,16.6835,16.6555,15.6854,0.0009,-1.0000
16.6685,1.0000,132.6014,0.9190,0.2370,16.6491,16.6806,15.7335,0.0008,-1.0000
16.6654,1.0000,132.6181,0.6190,0.2772,16.6760,16.6480,15.7038,0.0011,-1.0000
16.6671,1.0000,132.6348,0.8596,0.2639,16.6629,16.7109,15.9446,0.0012,-1.0000
16.6669,1.0000,132.6515,0.9693,0.2832,16.6589,16.6197,15.7268,0.0009,-1.0000
16.6658,1.0000,132.6680,0.9461,0.2675,16.6854,16.6550,15.8555,0.0010,-1.0000
16.6681,1.0000,132.6849,0.9433,0.2347,16.6516,16.7247,15.9893,0.0008,-1.0000
16.6657,1.0000,132.7013,0.7648,0.2444,16.7149,16.6016,15.6457,0.0010,-1.0000
16.6672,1.0000,132.7181,0.8919,0.2498,16.6237,16.6735,16.0533,0.0010,-1.0000
16.6669,1.0000,132.7349,0.7986,0.2207,16.6585,16.7050,15.8018,0.0009,-1.0000
16.6658,1.0000,132.7514,0.7350,0.2663,16.7296,16.6105,15.6102,0.0011,-1.0000
16.6682,1.0000,132.7682,0.9549,0.2432,16.6051,16.6748,15.9773,0.0009,-1.0000
16.6655,1.0000,132.7847,0.6192,0.2489,16.6779,16.6498,15.6050,0.0012,-1.0000
16.6676,1.0000,132.8014,0.9026,0.2677,16.7097,16.7029,16.0129,0.0010,-1.0000
16.6659,1.0000,132.8181,0.9993,0.2321,16.6143,16.6570,15.8681,0.0007,-1.0000
16.6707,1.0000,132.8349,0.6968,0.2709,16.6799,16.6748,15.8525,0.0010,-1.0000
16.6628,1.0000,132.8515,1.0437,0.2092,16.6535,16.6621,15.7492,0.0008,-1.0000
16.6668,1.0000,132.8681,0.6890,0.2278,16.7071,16.6708,15.8012,0.0009,-1.0000
16.6678,1.0000,132.8849,0.7883,0.2262,16.6607,16.6525,15.9197,0.0010,-1.0000
16.6658,1.0000,132.9014,0.8211,0.2841,16.6792,16.6455,15.6843,0.0009,-1.0000
16.6674,1.0000,132.9182,0.9121,0.2417,16.6668,16.7502,15.9529,0.0011,-1.0000
16.6661,1.0000,132.9348,0.8686,0.2262,16.6739,16.5824,15.6749,0.0010,-1.0000
16.6664,1.0000,132.9514,0.7321,0.2646,16.6573,16.6529,15.8018,0.0013,-1.0000
16.6678,1.0000,132.9683,0.9604,0.2340,16.6493,16.7326,15.9814,0.0009,-1.0000
16.6656,1.0000,132.9847,0.7963,0.2492,16.7548,16.5685,15.5246,0.0012,-1.0000
16.6670,1.0000,133.0014,0.9065,0.2584,16.5873,16.7101,15.9816,0.0011,-1.0000
16.6670,1.0000,133.0182,0.8498,0.2175,16.6565,16.6707,15.7905,0.0008,-1.0000
16.6668,1.0000,133.0347,0.7502,0.2687,16.7375,16.6264,15.7132,0.0009,-1.0000
16.6671,1.0000,133.0515,1.0427,0.2229,16.5720,16.6974,15.9669,0.0010,-1.0000
16.6658,1.0000,133.0681,0.7274,0.2450,16.7148,16.6351,15.6943,0.0009,-1.0000
16.6669,1.0000,133.0848,0.8792,0.2513,16.6750,16.6667,15.9424,0.0009,-1.0000
16.6670,1.0000,133.1014,0.9123,0.2044,16.6302,16.6760,15.7477,0.0008,-1.0000
16.6664,1.0000,133.1182,0.7293,0.2502,16.7034,16.6881,15.8726,0.0010,-1.0000
16.6674,1.0000,133.1349,0.9399,0.2498,16.6382,16.6359,15.8748,0.0007,-1.0000
16.6658,1.0000,133.1514,0.7234,0.2389,16.6713,16.6400,15.6956,0.0012,-1.0000
16.6671,1.0000,133.1683,0.9274,0.2632,16.6801,16.7635,15.8998,0.0011,-1.0000
16.6670,1.0000,133.1848,0.8146,0.2118,16.6919,16.5667,15.5864,0.0009,-1.0000
16.6660,1.0000,133.2014,0.7603,0.2596,16.6411,16.6626,15.5987,0.0011,-1.0000
16.6673,1.0000,133.2182,0.9433,0.2539,16.6436,16.6626,16.0311,0.0009,-1.0000
16.6664,1.0000,133.2347,0.8624,0.2593,16.7678,16.6354,15.7614,0.0008,-1.0000
16.6668,1.0000,133.2514,0.9793,0.2554,16.5713,16.6662,15.8982,0.0011,-1.0000
16.6668,1.0000,133.2681,1.0628,0.2120,16.6657,16.7042,15.8611,0.0007,-1.0000
16.6664,1.0000,133.2848,0.6309,0.2560,16.6672,16.6207,15.8087,0.0011,-1.0000
16.6676,1.0000,133.3014,0.8732,0.2531,16.6388,16.6623,15.8154,0.0012,-1.0000
16.6659,1.0000,133.3181,0.7669,0.2743,16.6709,16.6611,15.8909,0.0010,-1.0000
16.6679,1.0000,133.3348,0.8426,0.2372,16.7081,16.6903,15.8472,0.0011,-1.0000
16.6657,1.0000,133.3515,0.8109,0.2718,16.6241,16.6773,15.7274,0.0007,-1.0000
16.6678,1.0000,133.3682,0.8459,0.2561,16.6667,16.6662,15.8428,0.0011,-1.0000
16.6654,1.0000,133.3848,0.7694,0.2049,16.6646,16.6492,15.5193,0.0014,-1.0000
16.6670,1.0000,133.4014,0.8422,0.2496,16.6954,16.6645,15.8232,0.0014,-1.0000
16.6684,1.0000,133.4182,0.9493,0.2348,16.6810,16.7109,15.8514,0.0013,-1.0000
16.6647,1.0000,133.4348,0.8223,0.2285,16.6710,16.6047,15.5855,0.0010,-1.0000
16.6685,1.0000,133.4515,1.1286,0.4189,16.6545,16.6766,15.8018,0.0011,-1.0000
16.6661,1.0000,133.4683,0.8399,0.2130,16.6676,16.7148,15.6020,0.0014,-1.0000
16.6657,1.0000,133.4847,0.8581,0.2566,16.7158,16.5670,15.5374,0.0012,-1.0000
16.6675,1.0000,133.5014,1.0184,0.2422,16.6084,16.6682,15.9271,0.0008,-1.0000
16.6659,1.0000,133.5181,0.8739,0.2375,16.6819,16.6545,15.8538,0.0011,-1.0000
16.6684,1.0000,133.5348,1.1112,0.2544,16.7200,16.6790,15.8859,0.0013,-1.0000
16.6658,1.0000,133.5514,1.0284,0.2339,16.5716,16.6526,15.7612,0.0009,-1.0000
16.6664,1.0000,133.5681,0.7402,0.2521,16.6724,16.6600,15.7575,0.0010,-1.0000
16.6670,1.0000,133.5848,0.7996,0.2638,16.6582,16.7078,15.9754,0.0008,-1.0000
16.6661,1.0000,133.6013,0.7919,0.2396,16.6835,16.6134,15.3918,0.0010,-1.0000
16.6681,1.0000,133.6182,0.8903,0.2539,16.6571,16.6734,15.9966,0.0010,-1.0000
16.6657,1.0000,133.6347,0.9016,0.2814,16.6638,16.6545,15.6312,0.0009,-1.0000
16.6665,1.0000,133.6514,0.7317,0.2798,16.7124,16.6606,15.9681,0.0008,-1.0000
16.6683,1.0000,133.6681,1.2207,0.2620,16.6163,16.6744,15.9510,0.0007,-1.0000
16.6652,1.0000,133.6847,0.6757,0.2563,16.6788,16.6489,15.7762,0.0012,-1.0000
16.6685,1.0000,133.7014,1.0224,0.2409,16.6582,16.6796,16.0367,0.0009,-1.0000
16.6651,1.0000,133.7181,0.6917,0.2734,16.6645,16.6502,15.9046,0.0007,-1.0000
16.6672,1.0000,133.7348,0.7227,0.2678,16.6787,16.6660,15.8654,0.0011,-1.0000
16.6664,1.0000,133.7515,0.8716,0.2162,16.6528,16.6636,15.6999,0.0011,-1.0000
16.6665,1.0000,133.7681,0.6420,0.2346,16.6841,16.6532,15.7809,0.0010,-1.0000
16.6679,1.0000,133.7848,0.7449,0.2573,16.6548,16.6737,15.9990,0.0009,-1.0000
16.6660,1.0000,133.8014,0.7995,0.2353,16.6706,16.6579,15.7185,0.0009,-1.0000
16.6670,1.0000,133.8181,0.9626,0.2567,16.6683,16.6640,15.9564,0.0010,-1.0000
16.6670,1.0000,133.8348,0.8713,0.2434,16.6559,16.6705,15.8037,0.0012,-1.0000
16.6657,1.0000,133.8514,0.6740,0.2706,16.6793,16.6473,15.7589,0.0013,-1.0000
16.6688,1.0000,133.8682,0.9387,0.2261,16.6616,16.7236,15.9674,0.0010,-1.0000
16.6651,1.0000,133.8848,0.7068,0.2234,16.6686,16.6374,15.5328,0.0012,-1.0000
16.6668,1.0000,133.9014,0.8656,0.2800,16.6755,16.6283,15.7831,0.0011,-1.0000
16.6691,1.0000,133.9183,0.8870,0.2318,16.6507,16.7215,15.8920,0.0011,-1.0000
16.6637,1.0000,133.9347,0.7554,0.2516,16.7288,16.5987,15.5124,0.0010,-1.0000
16.6682,1.0000,133.9515,1.1034,0.2346,16.6416,16.6727,16.0421,0.0010,-1.0000
16.6655,1.0000,133.9681,0.8442,0.2500,16.6324,16.7034,15.7058,0.0013,-1.0000
16.6673,1.0000,133.9848,0.8285,0.3755,16.7277,16.6127,15.8359,0.0010,-1.0000
16.6664,1.0000,134.0014,1.0855,0.2535,16.6024,16.6664,15.9352,0.0009,-1.0000
16.6666,1.0000,134.0181,0.6297,0.2463,16.6777,16.6572,15.9047,0.0009,-1.0000
16.6666,1.0000,134.0348,0.9963,0.2452,16.7080,16.7065,15.8931,0.0009,-1.0000
16.6668,1.0000,134.0515,0.7758,0.2251,16.6171,16.6589,15.8146,0.0009,-1.0000
16.6677,1.0000,134.0682,0.7304,0.2447,16.6709,16.6714,15.8683,0.0011,-1.0000
16.6662,1.0000,134.0848,0.7517,0.2431,16.6605,16.6730,15.7704,0.0009,-1.0000
16.6663,1.0000,134.1014,0.8124,0.2389,16.7108,16.6585,15.7940,0.0011,-1.0000
16.6676,1.0000,134.1182,0.8435,0.2425,16.6626,16.6522,16.0008,0.0011,-1.0000
16.6658,1.0000,134.1348,0.8020,0.2466,16.6765,16.6414,15.8242,0.0008,-1.0000
16.6681,1.0000,134.1517,0.9019,0.2546,16.6778,16.7925,15.9090,0.0012,-1.0000
16.6656,1.0000,134.1681,0.8635,0.2236,16.6618,16.5369,15.5596,0.0012,-1.0000
16.6665,1.0000,134.1848,0.6504,0.2324,16.6563,16.6676,15.9488,0.0009,-1.0000
16.6673,1.0000,134.2014,0.8166,0.2406,16.6448,16.6993,15.9660,0.0009,-1.0000
16.6660,1.0000,134.2181,0.8822,0.2546,16.7990,16.5950,15.8275,0.0009,-1.0000
16.6677,1.0000,134.2349,0.9762,0.2352,16.5410,16.7245,15.9394,0.0010,-1.0000
16.6659,1.0000,134.2515,0.7180,0.2304,16.6715,16.6463,15.5791,0.0011,-1.0000
16.6668,1.0000,134.2682,0.7326,0.2427,16.7034,16.6573,15.9159,0.0011,-1.0000
16.6675,1.0000,134.2848,0.7667,0.2261,16.5978,16.6623,15.7289,0.0013,-1.0000
16.6657,1.0000,134.3014,0.7841,0.2703,16.7295,16.6475,15.6879,0.0010,-1.0000
16.6682,1.0000,134.3182,1.0660,0.2185,16.6503,16.6966,16.0303,0.0008,-1.0000
16.6653,1.0000,134.3348,0.7404,0.2213,16.6615,16.6568,15.6524,0.0011,-1.0000
16.6673,1.0000,134.3515,0.9323,0.2397,16.6670,16.6563,15.8085,0.0008,-1.0000
16.6664,1.0000,134.3681,0.9587,0.2527,16.6508,16.6404,15.7169,0.0010,-1.0000
16.6666,1.0000,134.3850,0.6651,0.2457,16.7017,16.7789,15.8349,0.0012,-1.0000
16.6682,1.0000,134.4015,1.0034,0.2339,16.6608,16.5583,15.6668,0.0012,-1.0000
16.6656,1.0000,134.4182,0.8469,0.2510,16.6614,16.6429,15.6214,0.0011,-1.0000
16.6667,1.0000,134.4348,0.9224,0.2437,16.6444,16.6813,15.8146,0.0012,-1.0000
16.6672,1.0000,134.4515,0.9429,0.2483,16.7826,16.6261,15.7285,0.0010,-1.0000
16.6656,1.0000,134.4681,0.8903,0.2721,16.5642,16.6560,15.7553,0.0012,-1.0000
