frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6667,1.0000,153.6116,0.6621,0.2601,16.6740,16.6127,15.8432,0.0013,-1.0000
16.6670,1.0000,153.6283,0.7761,0.2401,16.6619,16.6687,15.9765,0.0009,-1.0000
16.6660,1.0000,153.6449,0.7728,0.2479,16.6798,16.7014,15.8468,0.0010,-1.0000
16.6671,1.0000,153.6617,0.9258,0.2473,16.7020,16.6237,15.9233,0.0013,-1.0000
16.6668,1.0000,153.6783,0.7680,0.2232,16.6170,16.6592,15.8147,0.0010,-1.0000
16.6670,1.0000,153.6951,0.6915,0.2601,16.6727,16.7116,15.9185,0.0012,-1.0000
16.6664,1.0000,153.7116,0.8539,0.2402,16.7051,16.6128,15.6663,0.0013,-1.0000
16.6668,1.0000,153.7283,0.6990,0.2463,16.6284,16.6629,15.9138,0.0013,-1.0000
16.6664,1.0000,153.7449,0.8437,0.2407,16.6628,16.6614,15.9125,0.0010,-1.0000
16.6667,1.0000,153.7617,0.7922,0.2555,16.7168,16.7000,15.9002,0.0009,-1.0000
16.6732,1.0000,153.7785,0.9454,0.2393,16.6172,16.6836,15.8754,0.0009,-1.0000
16.6655,1.0000,153.7950,0.7480,0.2256,16.6667,16.6300,15.6307,0.0011,-1.0000
16.6668,1.0000,153.8117,0.7479,0.2688,16.6656,16.6740,15.8797,0.0010,-1.0000
16.6667,1.0000,153.8284,0.7990,0.2710,16.7034,16.6940,15.8649,0.0012,-1.0000
16.6664,1.0000,153.8449,0.8071,0.2627,16.6895,16.6173,15.7962,0.0008,-1.0000
16.6686,1.0000,153.8618,0.9982,0.2676,16.6347,16.6880,15.9716,0.0010,-1.0000
16.6650,1.0000,153.8784,0.7934,0.2298,16.6782,16.7293,15.7049,0.0014,-1.0000
16.6665,1.0000,153.8950,0.8280,0.2373,16.6984,16.5719,15.7056,0.0017,-1.0000
16.6670,1.0000,153.9117,0.8204,0.2340,16.6209,16.6781,15.9604,0.0010,-1.0000
16.6668,1.0000,153.9284,0.7154,0.2566,16.6931,16.6834,15.6505,0.0008,-1.0000
16.6666,1.0000,153.9449,1.0233,0.2380,16.7344,16.6081,15.8435,0.0010,-1.0000
16.6676,1.0000,153.9617,0.8647,0.2252,16.5763,16.7141,15.9193,0.0008,-1.0000
16.6671,1.0000,153.9784,0.7167,0.3352,16.6825,16.6472,15.7526,0.0012,-1.0000
16.6659,1.0000,153.9950,1.0321,0.2524,16.6872,16.6365,15.8212,0.0009,-1.0000
16.6666,1.0000,154.0121,0.7639,0.2396,16.6138,16.6842,15.9118,0.0007,-1.0000
16.6671,1.0000,154.0284,0.7940,0.2439,16.7182,16.6812,11.4434,0.0009,-1.0000
16.6661,1.0000,154.0449,0.8934,0.2395,16.6522,16.6343,15.8328,0.0007,-1.0000
16.6669,1.0000,154.0616,0.8146,0.2287,16.6402,16.6649,16.0437,0.0007,-1.0000
16.6838,1.0000,154.0784,0.7718,0.3529,16.6874,16.7144,15.9769,0.0007,-1.0000
16.6667,1.0000,154.0949,5.2369,0.2899,16.6867,16.6175,15.8174,0.0007,-1.0000
16.6675,1.0000,154.1117,0.8010,0.2202,16.6374,16.7035,16.0019,0.0008,-1.0000
16.6659,1.0000,154.1284,0.6204,0.2500,16.6687,16.7395,15.6362,0.0010,-1.0000
16.6667,1.0000,154.1449,0.7369,0.2372,16.7184,16.5407,15.7597,0.0008,-1.0000
16.6667,1.0000,154.1617,0.7994,0.2220,16.6204,16.6705,15.9255,0.0007,-1.0000
16.6668,1.0000,154.1783,0.7009,0.2740,16.7089,16.6891,15.8467,0.0008,-1.0000
16.6674,1.0000,154.1950,1.1025,0.2483,16.7480,16.6116,15.9417,0.0010,-1.0000
16.6663,1.0000,154.2116,0.7802,0.2458,16.5458,16.6578,15.8832,0.0007,-1.0000
16.6674,1.0000,154.2283,0.7444,0.2631,16.6749,16.6709,15.9980,0.0008,-1.0000
16.6659,1.0000,154.2449,0.8417,0.2261,16.6929,16.6557,15.8618,0.0010,-1.0000
16.6666,1.0000,154.2616,0.6690,0.2424,16.6170,16.6586,15.8896,0.0007,-1.0000
16.6675,1.0000,154.2783,0.7740,0.2312,16.6614,16.6697,16.0392,0.0007,-1.0000
16.6660,1.0000,154.2949,0.6722,0.2323,16.6761,16.6726,15.8189,0.0008,-1.0000
16.6684,1.0000,154.3117,0.7930,0.2623,16.6614,16.7021,15.9949,0.0009,-1.0000
16.6652,1.0000,154.3285,0.7685,0.2128,16.6622,16.6358,15.7445,0.0009,-1.0000
16.6670,1.0000,154.3451,0.6300,0.2558,16.6744,16.6637,15.7329,0.0009,-1.0000
16.6678,1.0000,154.3618,0.8528,0.2348,16.6767,16.6896,15.3888,0.0008,-1.0000
16.6651,1.0000,154.3783,0.7062,0.2403,16.7079,16.6587,15.6344,0.0010,-1.0000
16.6672,1.0000,154.3950,0.8905,0.2447,16.6399,16.6306,15.9213,0.0009,-1.0000
16.6663,1.0000,154.4117,0.9298,0.3012,16.6684,16.6576,15.8091,0.0009,-1.0000
16.6671,1.0000,154.4284,1.3000,0.2737,16.6960,16.7161,15.9350,0.0010,-1.0000
16.6666,1.0000,154.4449,1.0235,0.2236,16.6625,16.5883,15.7257,0.0014,-1.0000
16.6668,1.0000,154.4616,0.7085,0.2786,16.6350,16.6605,15.9420,0.0009,-1.0000
16.6671,1.0000,154.4784,0.8476,0.2270,16.6610,16.6686,15.9351,0.0011,-1.0000
16.6662,1.0000,154.4950,0.7802,0.2393,16.7207,16.6558,15.7548,0.0015,-1.0000
16.6675,1.0000,154.5117,0.8612,0.2497,16.5935,16.6726,15.9789,0.0010,-1.0000
16.6665,1.0000,154.5283,0.7178,0.2318,16.6640,16.6624,15.7766,0.0013,-1.0000
16.6659,1.0000,154.5449,0.7325,0.2594,16.6739,16.6943,15.8233,0.0012,-1.0000
16.6674,1.0000,154.5617,0.8998,0.2386,16.6596,16.6248,15.9842,0.0008,-1.0000
16.6661,1.0000,154.5783,0.6928,0.2480,16.6775,16.6562,15.7487,0.0014,-1.0000
16.6676,1.0000,154.5950,0.8846,0.2721,16.6667,16.6705,16.0068,0.0011,-1.0000
16.6664,1.0000,154.6117,0.8701,0.2328,16.6984,16.6599,15.8292,0.0007,-1.0000
16.6669,1.0000,154.6283,0.6399,0.2578,16.6292,16.6634,15.8298,0.0011,-1.0000
16.6667,1.0000,154.6450,0.9062,0.2530,16.6602,16.6618,15.8877,0.0009,-1.0000
16.6663,1.0000,154.6617,0.6628,0.2364,16.6756,16.6585,15.8565,0.0011,-1.0000
16.6674,1.0000,154.6784,0.8300,0.2636,16.6636,16.6702,15.8847,0.0010,-1.0000
16.6661,1.0000,154.6950,0.8326,0.2436,16.6680,16.6561,15.6625,0.0010,-1.0000
16.6689,1.0000,154.7117,0.7735,0.2556,16.6670,16.6774,15.8724,0.0011,-1.0000
16.6662,1.0000,154.7285,0.8008,0.2572,16.6620,16.6592,15.6561,0.0010,-1.0000
16.6648,1.0000,154.7449,0.7843,0.2677,16.6750,16.6458,15.4792,0.0013,-1.0000
16.6677,1.0000,154.7618,0.9927,0.2294,16.6594,16.6773,16.0420,0.0008,-1.0000
16.6662,1.0000,154.7783,0.8042,0.2654,16.6833,16.6487,15.6069,0.0009,-1.0000
16.6667,1.0000,154.7950,1.0020,0.3017,16.6651,16.6668,15.9245,0.0012,-1.0000
16.6673,1.0000,154.8117,1.1652,0.2195,16.6498,16.6622,15.7701,0.0014,-1.0000
16.6659,1.0000,154.8283,0.6345,0.2666,16.6834,16.6964,15.7006,0.0008,-1.0000
16.6675,1.0000,154.8450,1.0410,0.2449,16.6525,16.6252,15.9191,0.0009,-1.0000
16.6660,1.0000,154.8617,0.7415,0.2685,16.6717,16.6579,15.7956,0.0008,-1.0000
16.6669,1.0000,154.8784,0.8904,0.2807,16.6672,16.7072,15.9047,0.0009,-1.0000
16.6665,1.0000,154.8950,0.9952,0.2519,16.7009,16.6194,15.8373,0.0008,-1.0000
16.6668,1.0000,154.9116,0.7054,0.2662,16.6300,16.6584,15.8812,0.0009,-1.0000
16.6676,1.0000,154.9284,0.8615,0.2486,16.6616,16.7211,15.9976,0.0011,-1.0000
16.6658,1.0000,154.9449,0.8018,0.2374,16.7120,16.6060,15.6107,0.0011,-1.0000
16.6681,1.0000,154.9617,0.7812,0.2699,16.6230,16.6736,16.0810,0.0011,-1.0000
16.6663,1.0000,154.9784,0.7765,0.2359,16.6617,16.6622,15.6773,0.0011,-1.0000
16.6659,1.0000,154.9950,0.7225,0.2642,16.7259,16.6821,15.6736,0.0011,-1.0000
16.6680,1.0000,155.0118,0.9944,0.2563,16.6096,16.6905,16.0020,0.0008,-1.0000
16.6657,1.0000,155.0283,0.5917,0.2981,16.6779,16.6314,15.6921,0.0014,-1.0000
16.6672,1.0000,155.0450,0.9839,0.2671,16.6670,16.6840,15.9153,0.0010,-1.0000
16.6665,1.0000,155.0618,1.0074,0.2760,16.6857,16.6798,15.8723,0.0010,-1.0000
16.6668,1.0000,155.0783,0.6876,0.2558,16.6953,16.6388,15.7685,0.0011,-1.0000
16.6665,1.0000,155.0950,0.9381,0.2361,16.6348,16.6492,15.9173,0.0009,-1.0000
16.6667,1.0000,155.1118,0.7677,0.2346,16.6885,16.7490,15.8821,0.0009,-1.0000
16.6676,1.0000,155.1284,0.8066,0.2302,16.6843,16.5972,15.8013,0.0011,-1.0000
16.6659,1.0000,155.1450,0.8695,0.2143,16.6435,16.6542,15.6948,0.0009,-1.0000
16.6672,1.0000,155.1618,0.7310,0.2475,16.6529,16.7061,15.9367,0.0012,-1.0000
16.6661,1.0000,155.1783,0.8660,0.2328,16.7524,16.5853,15.6340,0.0012,-1.0000
16.6665,1.0000,155.1950,0.7949,0.2629,16.6024,16.7082,15.8782,0.0010,-1.0000
16.6684,1.0000,155.2118,0.9586,0.2348,16.6579,16.6737,15.9547,0.0011,-1.0000
16.6654,1.0000,155.2284,0.7685,0.2635,16.7113,16.6318,15.5878,0.0010,-1.0000
16.6674,1.0000,155.2450,0.9502,0.2438,16.5894,16.6695,15.8748,0.0010,-1.0000
16.6661,1.0000,155.2617,0.8293,0.2252,16.7121,16.6528,15.7283,0.0009,-1.0000
16.6670,1.0000,155.2784,0.7184,0.2754,16.6796,16.6708,15.9005,0.0011,-1.0000
16.6666,1.0000,155.2951,1.0431,0.2451,16.6358,16.7004,15.8725,0.0011,-1.0000
16.6662,1.0000,155.3117,0.7938,0.2486,16.6748,16.6078,15.6690,0.0012,-1.0000
16.6670,1.0000,155.3284,0.9237,0.2606,16.6568,16.6719,15.9267,0.0010,-1.0000
16.6670,1.0000,155.3451,0.7694,0.2235,16.6750,16.7663,15.8500,0.0010,-1.0000
16.6678,1.0000,155.3618,0.8267,0.2554,16.7053,16.5716,15.7521,0.0011,-1.0000
16.6655,1.0000,155.3784,0.9376,0.2424,16.6107,16.6620,15.7018,0.0012,-1.0000
16.6665,1.0000,155.3950,0.7443,0.2423,16.6767,16.6238,15.7653,0.0011,-1.0000
16.6680,1.0000,155.4117,0.9154,0.2574,16.7704,16.6618,15.9521,0.0011,-1.0000
16.6655,1.0000,155.4283,0.8184,0.2569,16.5775,16.6545,15.7491,0.0010,-1.0000
16.6670,1.0000,155.4449,0.9591,0.2584,16.6672,16.6636,15.9590,0.0009,-1.0000
16.6672,1.0000,155.4617,0.8576,0.2591,16.6270,16.6701,15.8596,0.0007,-1.0000
