frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6660,1.0000,5.5042,1.1401,0.4069,16.6634,16.6547,15.4797,0.0010,-1.0000
16.6653,1.0000,5.5202,1.2289,0.3780,16.6628,16.6550,14.7739,0.0011,-1.0000
16.6649,1.0000,5.5369,1.1848,0.3811,16.6713,16.6539,15.6709,0.0010,-1.0000
16.6686,1.0000,5.5536,1.2360,0.3549,16.6686,16.6691,15.7516,0.0010,-1.0000
16.6687,1.0000,5.5703,1.1740,0.3185,16.6630,16.6681,15.5406,0.0013,-1.0000
16.6668,1.0000,5.5870,1.8799,0.3990,16.6614,16.6581,15.1678,0.0014,-1.0000
16.6658,1.0000,5.6036,0.9823,0.3535,16.6582,16.6548,15.4445,0.0011,-1.0000
16.6673,1.0000,5.6204,0.9165,0.3308,16.6744,16.6598,15.4551,0.0010,-1.0000
16.6664,1.0000,5.6370,1.1260,0.4005,16.6758,16.6623,15.1872,0.0012,-1.0000
16.6682,1.0000,5.6537,1.4888,0.3534,16.6664,16.6595,15.2243,0.0012,-1.0000
16.6677,1.0000,5.6704,1.2089,0.3471,16.6624,16.6640,15.2342,0.0012,-1.0000
16.6666,1.0000,5.6870,1.2035,0.3743,16.6668,16.6543,15.3263,0.0013,-1.0000
16.6653,1.0000,5.7037,1.4741,0.3696,16.6697,16.6548,15.3860,0.0012,-1.0000
16.6668,1.0000,5.7203,1.4342,0.3720,16.6678,16.6606,15.4043,0.0014,-1.0000
16.6672,1.0000,5.7370,1.4285,0.3608,16.6738,16.6582,15.4450,0.0009,-1.0000
16.8060,1.0000,5.7541,1.3266,0.3768,16.6637,16.8125,15.5394,0.0012,-1.0000
16.6625,1.0000,5.7705,1.2673,0.4102,16.6627,16.6328,14.3927,0.0019,-1.0000
16.6701,1.0000,5.7872,1.2548,0.3515,16.6682,16.6689,15.4813,0.0011,-1.0000
16.6661,1.0000,5.8038,1.2121,0.3728,16.6665,16.6520,15.0639,0.0013,-1.0000
16.6660,1.0000,5.8204,1.2717,0.7370,16.8246,16.6553,15.2923,0.0014,-1.0000
16.6687,1.0000,5.8373,2.2382,0.3396,16.6421,16.6846,15.4204,0.0011,-1.0000
16.6661,1.0000,5.8538,1.1861,0.4986,16.6790,16.6323,14.9947,0.0014,-1.0000
16.6683,1.0000,5.8706,1.5867,0.4527,16.6609,16.6701,15.2729,0.0015,-1.0000
16.6649,1.0000,5.8873,1.3615,0.3641,16.6646,16.6496,14.8930,0.0013,-1.0000
16.6667,1.0000,5.9039,1.2630,0.4285,16.6936,16.6490,15.0999,0.0009,-1.0000
16.6682,1.0000,5.9207,1.6362,0.3785,16.6424,16.6589,15.0320,0.0017,-1.0000
16.6662,1.0000,5.9372,1.3957,0.4057,16.6824,16.6524,14.8409,0.0016,-1.0000
16.6658,1.0000,5.9539,1.7555,0.4928,16.6618,16.6528,15.1826,0.0017,-1.0000
16.6666,1.0000,5.9705,1.5480,0.4836,16.6603,16.6541,14.8625,0.0015,-1.0000
16.6670,1.0000,5.9873,1.6253,0.4764,16.6708,16.6612,15.3411,0.0010,-1.0000
16.6666,1.0000,6.0040,1.8097,0.4341,16.6632,16.7548,14.8727,0.0013,-1.0000
16.6664,1.0000,6.0204,1.4688,0.4676,16.6636,16.5574,15.1043,0.0014,-1.0000
16.6668,1.0000,6.0372,1.7898,0.5446,16.6631,16.6576,15.5126,0.0010,-1.0000
16.6667,1.0000,6.0538,1.3190,0.4600,16.6700,16.6593,15.0243,0.0013,-1.0000
16.6660,1.0000,6.0705,1.8811,0.4279,16.7644,16.6571,15.2527,0.0013,-1.0000
16.6650,1.0000,6.0871,1.4517,0.3711,16.5661,16.6625,15.5200,0.0012,-1.0000
16.6683,1.0000,6.1038,1.1440,0.5019,16.6667,16.6538,15.6146,0.0012,-1.0000
