frame_ms,focused,elapsed,CPU Main Thread Frame Time,CPU Render Thread Frame Time,CPU Total Frame Time,PlayerLoop,WaitForTargetFPS,Gfx.WaitForPresentOnGfxThread,Gfx.WaitForGfxCommandsFromMainThread
16.6673,1.0000,108.2927,0.9442,0.2684,16.6857,16.7012,15.8969,0.0008,-1.0000
16.6661,1.0000,108.3092,0.7315,0.2439,16.6758,16.6030,15.6419,0.0012,-1.0000
16.6675,1.0000,108.3259,0.9262,0.2632,16.6678,16.6796,16.0290,0.0010,-1.0000
16.6666,1.0000,108.3427,0.8660,0.2443,16.6617,16.7509,15.9020,0.0008,-1.0000
16.6673,1.0000,108.3593,0.8035,0.2542,16.7057,16.5789,15.7630,0.0012,-1.0000
16.6662,1.0000,108.3760,0.9601,0.2480,16.6060,16.6652,15.8280,0.0012,-1.0000
16.6665,1.0000,108.3926,0.6494,0.2395,16.6842,16.6871,15.8493,0.0008,-1.0000
16.6678,1.0000,108.4093,0.8482,0.2508,16.7550,16.6057,15.9082,0.0012,-1.0000
16.6660,1.0000,108.4260,0.8146,0.2569,16.5832,16.7137,15.7860,0.0011,-1.0000
16.6669,1.0000,108.4426,0.8361,0.2871,16.6700,16.6484,15.8086,0.0009,-1.0000
16.6666,1.0000,108.4592,0.8371,0.2413,16.6904,16.6624,15.8578,0.0013,-1.0000
16.6664,1.0000,108.4759,0.6964,0.2971,16.6107,16.6420,15.7646,0.0010,-1.0000
16.6671,1.0000,108.4927,0.9266,0.2759,16.7179,16.6778,15.9758,0.0011,-1.0000
16.6664,1.0000,108.5093,0.8389,0.2423,16.6527,16.6622,15.7622,0.0007,-1.0000
16.6668,1.0000,108.5259,0.8035,0.2715,16.6674,16.6803,15.8824,0.0009,-1.0000
16.6667,1.0000,108.5426,0.8766,0.2428,16.6454,16.6482,15.8875,0.0009,-1.0000
16.6669,1.0000,108.5592,0.7008,0.2565,16.6819,16.6438,15.7858,0.0011,-1.0000
16.6683,1.0000,108.5766,0.8992,0.2549,16.6654,16.8009,16.0746,0.0008,-1.0000
16.6670,1.0000,108.5936,0.7969,0.2322,16.6839,16.5621,10.6455,0.0013,-1.0000
16.6695,1.0000,108.6094,0.7600,0.2517,16.6523,16.6680,14.5349,0.0015,-1.0000
16.6652,1.0000,108.6260,0.8571,0.2604,16.6471,16.6359,15.4223,0.0010,-1.0000
16.6636,1.0000,108.6426,0.7256,0.4609,16.8068,16.6173,15.6392,0.0010,-1.0000
16.6689,1.0000,108.6592,5.9155,0.3856,16.5688,16.6714,15.8611,0.0008,-1.0000
16.6668,1.0000,108.6760,2.1315,0.3351,16.6752,16.6628,15.8020,0.0009,-1.0000
16.6657,1.0000,108.6926,1.2126,0.2815,16.6442,16.6513,15.5891,0.0007,-1.0000
16.6666,1.0000,108.7092,0.9772,0.2669,16.6225,16.6577,15.8326,0.0008,-1.0000
16.6666,1.0000,108.7259,0.8093,0.2738,16.6776,16.6617,15.7975,0.0008,-1.0000
16.6664,1.0000,108.7426,0.8599,0.2989,16.6702,16.6837,15.9361,0.0009,-1.0000
16.6684,1.0000,108.7593,1.0615,0.2797,16.6567,16.7112,15.8769,0.0008,-1.0000
16.6655,1.0000,108.7759,0.8242,0.2769,16.6630,16.6182,15.5743,0.0009,-1.0000
16.6670,1.0000,108.7926,0.8636,0.2666,16.6661,16.6643,15.7270,0.0007,-1.0000
16.6685,1.0000,108.8093,0.7467,0.2888,16.6882,16.6927,15.8291,0.0008,-1.0000
16.6647,1.0000,108.8260,0.8336,0.3173,16.7173,16.6576,15.5698,0.0013,-1.0000
16.6690,1.0000,108.8427,1.0430,0.2843,16.6237,16.6631,15.7700,0.0008,-1.0000
16.6663,1.0000,108.8592,0.9365,0.3165,16.6695,16.6419,15.4551,0.0015,-1.0000
16.6647,1.0000,108.8760,0.8628,0.3026,16.6996,16.6869,15.7397,0.0008,-1.0000
16.6691,1.0000,108.8927,1.0867,0.2605,16.6622,16.6073,15.6910,0.0007,-1.0000
16.6671,1.0000,108.9095,0.8922,0.3192,16.6698,16.6557,15.4300,0.0013,-1.0000
16.6663,1.0000,108.9262,1.1852,0.2949,16.6480,16.6648,15.4048,0.0011,-1.0000
16.6680,1.0000,108.9427,0.9467,0.3059,16.6925,16.6682,14.7835,0.0015,-1.0000
16.6633,1.0000,108.9592,0.9157,0.3842,16.6138,16.6351,15.4191,0.0010,-1.0000
16.6708,1.0000,108.9761,1.2241,0.3470,16.6628,16.6740,15.7430,0.0010,-1.0000
16.6703,1.0000,108.9929,1.2590,0.4924,16.6735,16.7147,15.4581,0.0010,-1.0000
16.6606,1.0000,109.0093,1.8830,0.3554,16.6775,16.5900,15.2665,0.0016,-1.0000
16.6665,1.0000,109.0260,1.2150,0.3297,16.6416,16.6583,15.6448,0.0010,-1.0000
16.6695,1.0000,109.0428,0.9299,0.4181,16.6811,16.6800,15.7051,0.0012,-1.0000
16.6626,1.0000,109.0592,1.2553,0.3704,16.7254,16.6300,15.4087,0.0013,-1.0000
16.6686,1.0000,109.0760,1.3225,0.3106,16.5966,16.6816,15.9004,0.0010,-1.0000
16.6650,1.0000,109.0926,1.0125,0.2944,16.6641,16.6478,15.5893,0.0012,-1.0000
16.6668,1.0000,109.1092,0.9736,0.3132,16.6869,16.6598,15.7662,0.0012,-1.0000
16.6682,1.0000,109.1260,1.2202,0.2678,16.6350,16.6745,15.9491,0.0011,-1.0000
16.6656,1.0000,109.1426,0.7803,0.2980,16.6872,16.6583,15.6504,0.0011,-1.0000
16.6671,1.0000,109.1592,1.0574,0.2742,16.6528,16.6587,15.8458,0.0014,-1.0000
16.6667,1.0000,109.1760,0.8924,0.2208,16.6631,16.6611,15.8105,0.0011,-1.0000
16.6665,1.0000,109.1926,0.7241,0.2855,16.6800,16.6640,15.6240,0.0010,-1.0000
16.6694,1.0000,109.2093,1.0070,0.2639,16.6623,16.6715,15.7492,0.0011,-1.0000
16.6635,1.0000,109.2259,0.8114,0.2669,16.6637,16.6437,15.5941,0.0009,-1.0000
16.6677,1.0000,109.2426,0.8498,0.2978,16.6658,16.6684,15.8950,0.0009,-1.0000
16.6665,1.0000,109.2592,1.0392,0.2714,16.6683,16.6631,15.8515,0.0009,-1.0000
16.6661,1.0000,109.2760,0.9209,0.2787,16.6773,16.7040,15.7759,0.0009,-1.0000
16.6674,1.0000,109.2925,1.0487,0.2496,16.6483,16.6183,15.7375,0.0011,-1.0000
16.6681,1.0000,109.3094,0.7727,0.2492,16.6721,16.6725,15.9125,0.0009,-1.0000
16.6650,1.0000,109.3259,0.8106,0.2684,16.6682,16.6891,15.5745,0.0010,-1.0000
16.6689,1.0000,109.3427,0.9274,0.2485,16.7074,16.6373,15.9160,0.0009,-1.0000
